tune,english
mibedi,abandon
mibediha,abandoned
vakrasa,abandonments
yomuvi,abbreviate
drogegi,abduct
drogega,abduction
mibed,ablaze
netxoro,abnormal
xuvafa,abnormalities
netxora,abnormality
netxoroyo,abnormally
gevrolo,aboard
yazeski,abolish
befido,abrasive
maleno,abrupt
malena,abruption
malenoyo,abruptly
musnema,abruptness
yaqeska,absence of desire
fortevi,absolve
hamufti,absorb
hamuftavana,absorbance
hamuftiha,absorbed
hamuftovana,absorbency
hamufto,absorbent
hamuftiwa,absorber
hamuftiho,absorbing
hamufta,absorption
vufuvi,abstain
basnanayoga,abstractionism
direndovana,abundance
wospaqayo,abundancy
direndo,abundant
direndoyo,abundantly
flekago,academic
tiskupa,accent
tiskupiho,accenting
tiskupalaso,accentless
tiskupawa,accentor
nuqkema,accentors
xezdaka,accents
tiskupo,accentual
smolola,accentualities
tiskupavana,accentuality
tiskupoyo,accentually
tiskupi,accentuate
tiskupiha,accentuated
tiskupi,accentuates
tiskupiho,accentuating
plunoma,accentuation
basospa,accentuations
ziqitxi,accept
ziqitxikano,acceptable
ziqitxivana,acceptance
ziqitxiha,accepted
ziqitxihayo,acceptedly
ziqitxiho,accepting
sonusa,acceptingness
nefama,accident
nefamo,accidental
nefamoyo,accidentally
landuda,accidents
rinafki,acclimate
kefiviha,accompanied
kefiva,accompaniment
klafiga,accompaniments
kefiviwa,accompanist
gimduga,accompanists
kefivi,accompany
kefiviho,accompanying
plebofi,accomplish
plebofikano,accomplishable
plebofiha,accomplished
plebofiho,accomplishing
plebofa,accomplishment
kasrika,accomplishments
fobruba,accord
gafkigi,account
trikusa,accountability
gafkigikano,accountable
gegorda,accountancy
gafkigiwa,accountant
rudrina,accountants
gafkigiha,accounted
gafkigiho,accounting
fexorta,accretion
vinzegi,accrue
lirtesi,accumulate
druveza,accuracies
feholto,accurate
feholtoyo,accurately
nobrina,accusation
legzusa,accusations
nobrino,accusatory
nobrini,accuse
nobriniha,accused
nobriniwa,accuser
nibrosa,accusers
nobriniho,accusing
nobrinihoyo,accusingly
vadrixi,ache
vadrixiha,ached
satxisikano,achievable
satxisi,achieve
satxisiha,achieved
satxisa,achievement
rubina,achievements
satxisiwa,achiever
wuploka,achievers
satxisiho,achieving
vadrixiho,aching
vadrixihoyo,achingly
hadefti,acknowledge
hadeftiha,acknowledged
hadefta,acknowledgement
yovaspa,acknowledgements
hadeftiho,acknowledging
ximzagi,acquire
ximzagi,acquire
ximzagiha,acquired
grobuza,acquirers
ximzagiho,acquiring
ximzaga,acquisition
vemzuqa,acquisitions
liyufiha,acted
liyufiho,acting
liyufa,act
liyufakano,actionable
mogorti,activate
mogortiha,activated
mogorta,activation
mogorto,active
mogortinadoyo,actively
mogortiwa,activist
lukoga,activists
kopliva,activities
mogortivana,activity
liyufiwa,actor
bunotxa,actors
vako-gaskiwa,actress
vako-gaskiwaya,actresses
liyufo,actual
liyufoyo,actually
nomzufo,acute
bidarpa,addict
bovizi,address
bovizikano,addressable
boviziha,addressed
srififa,addresses
boviziho,addressing
dranemo,adept
bamulpo,adequate
lakiki,adhere
lakikiha,adhered
seborpa,adherence
lakiko,adherent
lakikiho,adhering
lakika,adhesion
lakikinado,adhesive
muspodo,adiabatic
geyeski,adjust
lebema,adjustability
geyeskikano,adjustable
geyeskiha,adjusted
geyeskiwa,adjuster
sizoka,adjusters
geyeskiho,adjusting
geyeska,adjustment
roprana,adjustments
mardabi,administer
mardabiha,administered
mardabiho,administering
kroniqa,administration
raftefa,administrations
mardabinado,administrative
mardabiwa,administrator
fuslofa,administrators
smefisikano,admirable
smefisikanoyo,admirably
smefisa,admiration
gramaga,admirations
smefisi,admire
smefisiha,admired
smefisiwa,admirer
yorpiza,admirers
smefisiho,admiring
hikliga,admissibility
batxesikano,admissible
batxesa,admission
smabafa,admissions
batxesi,admit
batxesiha,admitted
batxesihayo,admittedly
batxesiho,admitting
klobevi,adopt
klobeviha,adopted
klobeviwa,adopter
vigorpa,adopters
klobeviho,adopting
klobeva,adoption
reqkuma,adoptions
klobevinado,adoptive
sufrifikano,adorable
zutxoga,adoration
sufrifi,adore
sufrifiha,adored
sufrifiho,adoring
lesleda,adult
xablaga,adulthood
xuxifta,adults
lofkara,advantage
lofkariha,advantaged
lofkaro,advantageous
lofkaroyo,advantageously
dokeva,advantages
kaqifka,adventure
kaqifkiwa,adventurer
vozulpa,adventurers
kaqifkiho,adventuring
kaqifko,adventurous
kaqifkoyo,adventurously
